Year,Quarter,MVA,DELTA_MVA
2000,4,1029500.9245634077,-0.0830097885532377
2001,1,848164.9797101421,-0.17613966197278236
2001,2,822382.2244263559,-0.030398278519584005
2001,3,861419.8327963084,0.04746893501641868
2001,4,651429.4940978755,-0.2437723519979453
2002,1,714168.6803262476,0.09631001788651843
2002,2,455275.5610536577,-0.3625097633157505
2002,3,371832.51620076713,-0.18328030755653968
2002,4,347937.1332196423,-0.06426383368855991
2003,1,426561.73900145595,0.22597359774238387
2003,2,379193.19207305013,-0.11104734109367494
2003,3,553238.8551801675,0.4589894194977744
2003,4,539588.9721750946,-0.024672675964936726
2004,1,627326.8540079574,0.16260132500334368
2004,2,652470.9374759019,0.04008131216972514
2004,3,691701.9484767574,0.06012683285576136
2004,4,637015.3598027596,-0.07906091459540737
2005,1,1043753.2048622251,0.6385055537521177
2005,2,1152529.5826130996,0.10421656886335781
2005,3,1189305.0962114844,0.031908520313209364
2005,4,1363162.1433484072,0.14618372332780052
2006,1,1413974.6805118693,0.03727549023526174
2006,2,1523187.287922118,0.07723802195009112
2006,3,1435342.602753565,-0.05767162440568157
2006,4,1492656.8673700301,0.039930720725848565
2007,1,1626054.5668156457,0.08936930004593359
2007,2,1571215.4612471478,-0.03372525540510677
2007,3,1640765.9547578243,0.0442654080398821
2007,4,1667923.2017564944,0.016551566614312417
2008,1,1661420.9797935684,-0.003898394096369947
2008,2,1320806.1886639642,-0.20501413866335408
2008,3,1246002.3613550288,-0.05663497638862648
2008,4,1172839.656403703,-0.05871795047945285
2009,1,1018259.1792117634,-0.13180017946010802
2009,2,792496.0134959371,-0.221714834813068
2009,3,1284783.377240251,0.6211859181129341
2009,4,1526095.0375629633,0.18782283815117234
2010,1,1505133.9616636978,-0.013735105208610356
2010,2,1313798.7578602396,-0.12712171054327026
2010,3,1196029.4676853917,-0.08964028126092664
2010,4,1311792.2463277914,0.09678923619367746
2011,1,1110555.0995790705,-0.1534062633104142
2011,2,1127139.039198176,0.01493301829453693
2011,3,1110205.9130365318,-0.01502310324881491
2011,4,891406.0464559578,-0.1970804370714735
2012,1,840163.8807543769,-0.0574846512487872
2012,2,883042.3491410792,0.05103583880349879
2012,3,862376.4365813971,-0.023403082060315168
2012,4,1029114.6930907866,0.1933474170170599
2013,1,1023934.5172365707,-0.0050336234522684814
2013,2,976606.1700050952,-0.04622204490108105
2013,3,933301.3471581229,-0.04434215569900233
2013,4,1137035.2434582994,0.21829379858985595
2014,1,1198523.7083471727,0.054077888299975424
2014,2,1283379.2603153957,0.0708000612563962
2014,3,1435606.6955127364,0.11861453578416896
2014,4,1452438.9572042376,0.011724842008687746
2015,1,1397864.551912263,-0.03757431940342843
2015,2,1502765.3325999542,0.07504359456299832
2015,3,1319759.223611303,-0.12177956532443426
2015,4,1004448.612256972,-0.2389152549292556
2016,1,990301.8426679225,-0.014084114823218339
2016,2,848116.3666315923,-0.1435779172674015
2016,3,752020.4357037368,-0.11330512499070533
